gid,reason,seed_flow_in,in_sum,in_deg,request
100000001732159100,inflow_incomplete,2378100.0,2378100.0,2,запросить исходящие переводы по узлу
100000008418835100,inflow_incomplete,1372000.0,1372000.0,1,запросить исходящие переводы по узлу
100000005523088100,inflow_incomplete,700000.0,700000.0,1,запросить исходящие переводы по узлу
100000008637537100,inflow_incomplete,614599.875264889,619890.0,3,запросить исходящие переводы по узлу
100000003684369100,inflow_incomplete,500392.25159962656,3848436.0,24,запросить исходящие переводы по узлу
100000008601794100,inflow_incomplete,494400.0,494400.0,2,запросить исходящие переводы по узлу
100000001530983100,inflow_incomplete,393442.95280920825,564158.0,4,запросить исходящие переводы по узлу
100000008314203100,inflow_incomplete,382076.0,382076.0,2,запросить исходящие переводы по узлу
100000008748408100,inflow_incomplete,360000.0,360000.0,1,запросить исходящие переводы по узлу
100000008571433100,inflow_incomplete,342027.92064658337,350000.0,2,запросить исходящие переводы по узлу
100000005382566100,inflow_incomplete,339962.36993433494,393066.0,7,запросить исходящие переводы по узлу
100000001162560100,inflow_incomplete,331300.0,331300.0,1,запросить исходящие переводы по узлу
100000003923946100,inflow_incomplete,282000.0,282000.0,1,запросить исходящие переводы по узлу
100000003835149100,inflow_incomplete,248500.0,248500.0,1,запросить исходящие переводы по узлу
100000000274067100,inflow_incomplete,242174.28849756462,517704.0,2,запросить исходящие переводы по узлу
100000005074393100,inflow_incomplete,201070.8017176264,563026.0,4,запросить исходящие переводы по узлу
100000002371751100,inflow_incomplete,200000.0,200000.0,1,запросить исходящие переводы по узлу
100000002224132100,inflow_incomplete,181058.7301224132,3951020.0,5,запросить исходящие переводы по узлу
100000004019124100,inflow_incomplete,157359.67078189302,193000.0,3,запросить исходящие переводы по узлу
100000000267734100,inflow_incomplete,152432.43243243243,180000.0,2,запросить исходящие переводы по узлу
100000004480280100,inflow_incomplete,146694.0,146694.0,1,запросить исходящие переводы по узлу
100000008193577100,inflow_incomplete,139181.50368821362,154300.0,2,запросить исходящие переводы по узлу
100000003366154100,inflow_incomplete,125000.0,125000.0,1,запросить исходящие переводы по узлу
100000001380054100,inflow_incomplete,122396.94007649808,127050.0,2,запросить исходящие переводы по узлу
100000005287097100,inflow_incomplete,111178.99913569048,127173.0,2,запросить исходящие переводы по узлу
100000003016635100,inflow_incomplete,106066.21256168255,586981.0,8,запросить исходящие переводы по узлу
100000002152857100,inflow_incomplete,105000.0,105000.0,1,запросить исходящие переводы по узлу
100000008516839100,inflow_incomplete,101500.0,155000.0,3,запросить исходящие переводы по узлу
100000008748914100,inflow_incomplete,96840.7297997856,180000.0,2,запросить исходящие переводы по узлу
100000001965374100,inflow_incomplete,93635.8810820912,1759720.0,2,запросить исходящие переводы по узлу
100000004403675100,inflow_incomplete,93552.74600304084,182980.0,4,запросить исходящие переводы по узлу
100000005316708100,inflow_incomplete,90000.0,90000.0,1,запросить исходящие переводы по узлу
100000008650785100,inflow_incomplete,83192.71187057954,92000.0,2,запросить исходящие переводы по узлу
100000008673001100,inflow_incomplete,80000.0,80000.0,1,запросить исходящие переводы по узлу
100000008659445100,inflow_incomplete,79623.89985054435,138490.0,3,запросить исходящие переводы по узлу
100000004188160100,inflow_incomplete,79500.39468492025,87862.0,2,запросить исходящие переводы по узлу
100000003977183100,inflow_incomplete,76057.77777777778,123800.0,2,запросить исходящие переводы по узлу
100000000343175100,inflow_incomplete,74168.06365414143,178712.0,8,запросить исходящие переводы по узлу
100000002306369100,inflow_incomplete,73166.0,73166.0,1,запросить исходящие переводы по узлу
100000005519347100,inflow_incomplete,73097.88405867269,73100.0,2,запросить исходящие переводы по узлу
100000005527892100,inflow_incomplete,70294.666907863,220001.0,3,запросить исходящие переводы по узлу
100000005079754100,inflow_incomplete,70000.0,70000.0,1,запросить исходящие переводы по узлу
100000004744306100,inflow_incomplete,69000.0,69000.0,1,запросить исходящие переводы по узлу
100000005612411100,inflow_incomplete,68843.64628476033,115500.0,3,запросить исходящие переводы по узлу
100000004351795100,inflow_incomplete,66872.00542080612,118333.0,3,запросить исходящие переводы по узлу
100000004070318100,inflow_incomplete,65291.96061361062,207246.55,4,запросить исходящие переводы по узлу
100000004156082100,inflow_incomplete,64298.81648545101,377366.11,5,запросить исходящие переводы по узлу
100000008188026100,inflow_incomplete,63599.08904530054,86468.0,2,запросить исходящие переводы по узлу
100000005668605100,inflow_incomplete,63068.237496047885,94500.0,3,запросить исходящие переводы по узлу
100000001677929100,inflow_incomplete,63010.703745576815,126777.0,3,запросить исходящие переводы по узлу
100000001616816100,inflow_incomplete,57745.8094365458,176195.0,5,запросить исходящие переводы по узлу
100000005339662100,inflow_incomplete,56496.937259137645,202939.0,4,запросить исходящие переводы по узлу
100000006232815100,inflow_incomplete,54398.640033999145,160000.0,1,запросить исходящие переводы по узлу
100000002267998100,inflow_incomplete,54048.5690001736,420000.0,2,запросить исходящие переводы по узлу
100000001937767100,inflow_incomplete,53000.0,53000.0,1,запросить исходящие переводы по узлу
100000004076740100,inflow_incomplete,51662.109165018905,93250.0,3,запросить исходящие переводы по узлу
100000004677680100,inflow_incomplete,50400.0,63000.0,2,запросить исходящие переводы по узлу
100000004041163100,inflow_incomplete,50000.0,50000.0,1,запросить исходящие переводы по узлу
100000008628231100,inflow_incomplete,50000.0,50000.0,1,запросить исходящие переводы по узлу
100000003004487100,inflow_incomplete,48512.523809062455,183702.8,4,запросить исходящие переводы по узлу
100000006579678100,inflow_incomplete,47169.86041611799,192930.0,2,запросить исходящие переводы по узлу
